ID,Model Year,Vehicle Manufacturer Name,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Vehicle Type,Drive System Description,Test Fuel Type Description,Test Category, MPG ,Test Veh Displacement (L),# of Cylinders and Rotors,Rated Horsepower,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi)
727,2024,FOMOCO,Ford,Bronco,MLA60016,Truck,"2-Wheel Drive, Rear",Tier 2 Cert Gasoline,FTP, 23.80 ,2.700,6,315,5000,3.73,25.7,0.0142017,0.3146690,374.1370000,0.0048643,,0.0045738,0.0015072
730,2024,FOMOCO,Ford,Bronco,MLA60028,Truck,"2-Wheel Drive, Rear",Tier 2 Cert Gasoline,FTP, 25.30 ,2.300,4,270,5000,4.27,29.4,,,351.0000000,,,0.0147000,0.0009000
733,2024,FOMOCO,Ford,Bronco,MLA60028,Truck,"2-Wheel Drive, Rear",Tier 2 Cert Gasoline,FTP, 24.70 ,2.300,4,270,5000,4.27,29.4,,,360.0000000,,,0.0147000,0.0009000
736,2024,FOMOCO,Ford,Bronco,MLA60031,Truck,"2-Wheel Drive, Rear",Tier 2 Cert Gasoline,FTP, 19.60 ,2.300,4,270,5500,4.70,32.4,0.0179592,0.3493510,454.0760000,0.0281710,,0.0105288,0.0022571
739,2024,FOMOCO,Ford,Bronco,MLA60031,Truck,"2-Wheel Drive, Rear",Tier 2 Cert Gasoline,FTP, 20.10 ,2.300,4,270,5500,4.70,32.4,,,442.0000000,,,0.0105000,0.0023000
742,2024,FOMOCO,Ford,Bronco,MLA60031,Truck,"2-Wheel Drive, Rear",Tier 2 Cert Gasoline,FTP, 20.20 ,2.300,4,270,5500,4.70,32.4,,,440.0000000,,,0.0105000,0.0023000
745,2024,FOMOCO,Ford,Bronco,MLA60031,Truck,"2-Wheel Drive, Rear",Tier 2 Cert Gasoline,FTP, 20.00 ,2.300,4,270,5500,4.70,32.4,,,444.0000000,,,0.0105000,0.0023000
748,2024,FOMOCO,Ford,Bronco,MLA60032,Truck,"2-Wheel Drive, Rear",Tier 2 Cert Gasoline,FTP, 21.30 ,2.700,6,315,5500,4.46,30.1,0.0139950,0.2874020,416.5410000,0.0075657,,0.0031100,0.0018053
754,2024,FOMOCO,Ford,Bronco,MLA60032,Truck,"2-Wheel Drive, Rear",Tier 2 Cert Gasoline,FTP, 22.20 ,2.700,6,315,5500,4.46,30.1,,,400.0000000,,,0.0031000,0.0018000
756,2024,FOMOCO,Ford,Bronco,MLA60032,Truck,"2-Wheel Drive, Rear",Tier 2 Cert Gasoline,FTP, 21.70 ,2.700,6,315,5500,4.46,30.1,,,410.0000000,,,0.0031000,0.0018000
